Date, Category, Amount, Note
04/10/2024, Eating Out, -188.00, 
03/10/2024, Snacks, -30.00, 
02/10/2024, Snacks, -40.00, 
02/10/2024, Hair Cut, -100.00, 
01/10/2024, Eating Out, -50.00, 
01/10/2024, Eating Out, -60.00, 
01/10/2024, Auto riksha, -20.00, 
30/09/2024, Snacks, -11.00, 
30/09/2024, Snacks, -20.00, 
29/09/2024, Mobile recharge , -250.00, 
29/09/2024, Snacks, -36.00, 
27/09/2024, Auto riksha, -20.00, 
27/09/2024, Snacks, -80.00, 
26/09/2024, Auto riksha, -20.00, 
26/09/2024, Eating Out, -100.00, 
26/09/2024, Exam Fee, -1800.00, 
25/09/2024, Snacks, -40.00, 
25/09/2024, Auto riksha, -20.00, 
24/09/2024, Snacks, -20.00, 
24/09/2024, Eating Out, -90.00, 
23/09/2024, Snacks, -20.00, 
22/09/2024, Clothes, -600.00, 
22/09/2024, Eating Out, -70.00, 
22/09/2024, Auto riksha, -60.00, 
21/09/2024, Eating Out, -380.00, 
20/09/2024, Auto riksha, -30.00, 
20/09/2024, Snacks, -110.00, 
19/09/2024, Auto riksha, -10.00, 
19/09/2024, Xerox , -135.00, 
19/09/2024, Auto riksha, -10.00, 
18/09/2024, Auto riksha, -10.00, 
18/09/2024, Online Payment, -250.00, Navratri pass
17/09/2024, Auto riksha, -10.00, 
17/09/2024, Eating Out, -50.00, 
16/09/2024, Auto riksha, -20.00, 
14/09/2024, Snacks, -15.00, 
14/09/2024, Friend, -50.00, Darshan
13/09/2024, Eating Out, -95.00, 
13/09/2024, Auto riksha, -20.00, 
12/09/2024, Snacks, -70.00, 
11/09/2024, Auto riksha, -20.00, 
11/09/2024, Medicine , -179.00, 
11/09/2024, Snacks, -40.00, 
10/09/2024, Subscription , -850.00, 
10/09/2024, Mobile recharge , -800.00, 
09/09/2024, Snacks, -30.00, 
07/09/2024, Eating Out, -225.00, 
06/09/2024, Eating Out, -60.00, 
06/09/2024, Snacks, -30.00, 
05/09/2024, Living Expenses, -9000.00, 
03/09/2024, Auto riksha, -20.00, 
02/09/2024, Auto riksha, -20.00, 
02/09/2024, Eating Out, -30.00, 
01/09/2024, Bus Ticket , -210.00, 
01/09/2024, Auto riksha, -30.00, 
21/08/2024, Auto riksha, -10.00, 
21/08/2024, Snacks, -30.00, 
21/08/2024, Eating Out, -120.00, 
21/08/2024, Eating Out, -20.00, 
21/08/2024, Snacks, -30.00, 
20/08/2024, Auto riksha, -10.00, 
19/08/2024, Snacks, -35.00, 
05/08/2024, Living Expenses, -9000.00, 
17/07/2024, Gold, -20.00, 
16/07/2024, Gold, -20.00, 
15/07/2024, Gold, -20.00, 
14/07/2024, Gold, -20.00, 
13/07/2024, Gold, -20.00, 
12/07/2024, Gold, -20.00, 
11/07/2024, Gold, -20.00, 
10/07/2024, Gold, -20.00, 
09/07/2024, Gold, -20.00, 
08/07/2024, Gold, -20.00, 
07/07/2024, Gold, -20.00, 
06/07/2024, Gold, -20.00, 
06/07/2024, Snacks, -30.00, 
06/07/2024, Eating Out, -238.00, 
05/07/2024, Living Expenses, -9000.00, 
05/07/2024, Gold, -20.00, 
04/07/2024, Gold, -20.00, 
04/07/2024, Auto riksha, -30.00, 
03/07/2024, Gold, -20.00, 
03/07/2024, Auto riksha, -20.00, 
02/07/2024, Gold, -20.00, 
02/07/2024, Auto riksha, -20.00, 
02/07/2024, Eating Out, -30.00, 
01/07/2024, Gold, -20.00, 
01/07/2024, Auto riksha, -30.00, 
01/07/2024, Eating Out, -50.00, 
30/06/2024, Gold, -20.00, 
30/06/2024, Eating Out, -150.00, 
30/06/2024, Movie, -250.00, 
29/06/2024, Gold, -20.00, 
28/06/2024, Gold, -20.00, 
27/06/2024, Gold, -20.00, 
26/06/2024, Gold, -20.00, 
25/06/2024, Gold, -20.00, 
24/06/2024, Gold, -20.00, 
23/06/2024, Gold, -20.00, 
22/06/2024, Gold, -20.00, 
21/06/2024, Gold, -20.00, 
20/06/2024, Gold, -20.00, 
19/06/2024, Gold, -20.00, 
19/06/2024, Papa, -5000.00, Business Payment 
18/06/2024, Gold, -20.00, 
17/06/2024, Gold, -550.00, 
16/06/2024, Mobile recharge , -666.00, Mummy 
16/06/2024, Friend, -73.50, 
16/06/2024, Gold, -510.00, 
14/06/2024, Business Payment, 50000.00, 
13/06/2024, Business Payment, 50000.00, 
13/06/2024, Clg Fee, -68900.00, 
12/06/2024, Business Payment, 15000.00, 
07/06/2024, Electricity , -1245.77, 
07/06/2024, Electricity , -991.26, 
07/06/2024, Electricity , -1442.94, 
05/06/2024, Living Expenses, -9000.00, 
04/06/2024, Auto riksha, -20.00, 
04/06/2024, Hair Cut, -120.00, 
04/06/2024, Bus Ticket , -150.00, 
01/06/2024, Scholarship , 57775.00, 
13/05/2024, Auto riksha, -20.00, 
13/05/2024, Bus Ticket , -150.00, 
13/05/2024, Eating Out, -20.00, 
10/05/2024, Auto riksha, -20.00, 
10/05/2024, Xerox , -115.00, 
10/05/2024, Eating Out, -30.00, 
08/05/2024, Eating Out, -55.00, 
08/05/2024, Auto riksha, -10.00, 
06/05/2024, Eating Out, -90.00, 
06/05/2024, Auto riksha, -10.00, 
05/05/2024, Living Expenses, -9000.00, 
03/05/2024, Snacks, -80.00, 
01/05/2024, Auto riksha, -10.00, 
21/04/2024, Movie, -320.00, 
19/04/2024, Auto riksha, -10.00, 
18/04/2024, Auto riksha, -10.00, 
18/04/2024, Eating Out, -740.00, Stailers kitchenicecream 
17/04/2024, Auto riksha, -10.00, 
17/04/2024, Snacks, -70.00, 
16/04/2024, Auto riksha, -20.00, 
15/04/2024, Auto riksha, -10.00, 
15/04/2024, Snacks, -30.00, 
14/04/2024, Bus Ticket , -16.00, 
14/04/2024, Bus Ticket , -200.00, 
14/04/2024, Hair Cut, -120.00, 
12/04/2024, Xerox , -15.00, 
10/04/2024, Auto riksha, -50.00, 
10/04/2024, Bus Ticket , -150.00, 
10/04/2024, Eating Out, -40.00, Ice-cream 
10/04/2024, Eating Out, -30.00, 
10/04/2024, Snacks, -40.00, 
09/04/2024, Eating Out, -20.00, 
09/04/2024, Auto riksha, -10.00, 
08/04/2024, Snacks, -20.00, 
08/04/2024, Auto riksha, -10.00, 
07/04/2024, Study Table, -300.00, 
06/04/2024, Auto riksha, -10.00, 
05/04/2024, Living Expenses, -9000.00, 
03/04/2024, Snacks, -30.00, 
03/04/2024, Auto riksha, -10.00, 
02/04/2024, Auto riksha, -30.00, 
02/04/2024, Eating Out, -220.00, 
01/04/2024, Snacks, -90.00, 
31/03/2024, Eating Out, -252.00, 
24/03/2024, Eating Out, -100.00, 
04/03/2024, Snacks, -40.00, 
04/03/2024, Auto riksha, -20.00, 
01/03/2024, Friend, -200.00, Darshan 
01/03/2024, Auto riksha, -20.00, 
01/03/2024, Snacks, -40.00, 
01/03/2024, Eating Out, -110.00, 
01/03/2024, Auto riksha, -60.00, 
28/02/2024, Auto riksha, -20.00, 
27/02/2024, Snacks, -40.00, 
26/02/2024, Eating Out, -140.00, Chirag bhai
26/02/2024, Eating Out, -300.00, 
26/02/2024, Friend, -1200.00, Darshanvaibhavkevalkirtan
24/02/2024, Snacks, -50.00, 
23/02/2024, Darshan, -100.00, 
23/02/2024, Eating Out, -150.00, Frankie and dabeli
23/02/2024, Friend, 50.00, Food
23/02/2024, Auto riksha, -20.00, 
22/02/2024, Eating Out, -50.00, Samosa
22/02/2024, Friend, -80.00, Vaibhav 
20/02/2024, Eating Out, -410.00, 
19/02/2024, Snacks, -40.00, 
19/02/2024, Auto riksha, -10.00, 
18/02/2024, Snacks, -36.00, 
16/02/2024, Auto riksha, -50.00, Total of week
16/02/2024, Snacks, -100.00, Total
13/02/2024, Eating Out, -40.00, 
11/02/2024, Petrol , -100.00, 
05/02/2024, Auto riksha, -30.00, 
30/01/2024, Bus Ticket , -200.00, 
30/01/2024, Auto riksha, -30.00, 
30/01/2024, Snacks, -10.00, 
24/01/2024, Auto riksha, -20.00, 
24/01/2024, Snacks, -20.00, 
22/01/2024, Auto riksha, -10.00, 
21/01/2024, Online Payment, -30.00, Snacks 
20/01/2024, Online Payment, -1000.00, Exam Fee
19/01/2024, Auto riksha, -10.00, 
18/01/2024, Snacks, -10.00, 
18/01/2024, Online Payment, -1500.00, Amanat
16/01/2024, Online Payment, -2500.00, Payal
16/01/2024, Online Payment, -260.00, Eating out 
14/01/2024, Online Payment, -60.00, Auto riksha 
09/01/2024, Darshan, -360.00, 
06/01/2024, Online Payment, -280.00, Eating Out 
